id,name,filename,status,source_limited,removed_unrendered_widget_comments,repaired_malformed_preheaders,removed_broken_media,removed_legacy_header_rows,removed_legacy_footer_blocks
214988060976,Newsletter -- Education -- Week 6 -- Poly Deep Dive,214988060976_Newsletter----Education----Week-6----Poly-Deep-Dive.html,rebranded-review-required,True,0,0,1,0,1
214988060979,Newsletter -- Newsletter -- Week 13 -- Q1 Recap,214988060979_Newsletter----Newsletter----Week-13----Q1-Recap.html,rebranded-review-required,True,0,0,1,0,1
214988060982,Newsletter -- Customer Story -- Week 14 -- New Arrivals Spotlight,214988060982_Newsletter----Customer-Story----Week-14----New-Arrivals-Spotlight.html,rebranded-review-required,True,0,0,1,0,1
214988060985,Newsletter -- Customer Story -- Week 17 -- Newsletter Customer Spotlight,214988060985_Newsletter----Customer-Story----Week-17----Newsletter-Customer-Spotlight.html,rebranded-review-required,True,0,0,1,0,1
214988060988,Newsletter -- Education -- Week 19 -- Product Comparison Guide,214988060988_Newsletter----Education----Week-19----Product-Comparison-Guide.html,rebranded-review-required,True,0,0,1,0,1
214988060991,Newsletter -- Education -- Week 20 -- Newsletter Maintenance Tips,214988060991_Newsletter----Education----Week-20----Newsletter-Maintenance-Tips.html,rebranded-review-required,True,0,0,1,0,1
214988060994,Newsletter -- Offer -- Week 24 -- Mid Year Sale,214988060994_Newsletter----Offer----Week-24----Mid-Year-Sale.html,rebranded-review-required,True,0,0,1,0,1
214988060997,Newsletter -- Education -- Week 7 -- Maintenance Essentials,214988060997_Newsletter----Education----Week-7----Maintenance-Essentials.html,rebranded-review-required,True,0,0,1,0,1
214988061000,Newsletter -- Education -- Week 16 -- Home Attachment Education,214988061000_Newsletter----Education----Week-16----Home-Attachment-Education.html,rebranded-review-required,True,0,0,1,0,1
214988061003,Newsletter -- Newsletter -- Week 26 -- Half Year Recap,214988061003_Newsletter----Newsletter----Week-26----Half-Year-Recap.html,rebranded-review-required,True,0,0,1,0,1
214988061042,Win-back -- Email 2 of 4 -- Winback -- What's New,214988061042_Win-back----Email-2-of-4----Winback----Whats-New.html,rebranded-local,False,0,0,0,1,2
214988061045,Reorder -- Email 2 of 3 -- Replacement Window -- Replacement Nudge,214988061045_Reorder----Email-2-of-3----Replacement-Window----Replacement-Nudge.html,rebranded-local,False,0,0,0,1,2
214988061048,Reorder -- Email 3 of 4 -- Renewal -- 7 Day Urgency,214988061048_Reorder----Email-3-of-4----Renewal----7-Day-Urgency.html,rebranded-local,False,0,0,0,1,2
214988110702,Newsletter -- Email 1 of 5 -- Newsletter Nurture -- Newsletter Welcome,214988110702_Newsletter----Email-1-of-5----Newsletter-Nurture----Newsletter-Welcome.html,rebranded-local,False,0,0,0,1,2
214988110705,Newsletter -- Email 3 of 5 -- Newsletter Nurture -- Style Inspiration,214988110705_Newsletter----Email-3-of-5----Newsletter-Nurture----Style-Inspiration.html,rebranded-local,False,0,0,0,1,2
214988110708,Newsletter -- Email 4 of 5 -- Newsletter Nurture -- Maintenance Tips,214988110708_Newsletter----Email-4-of-5----Newsletter-Nurture----Maintenance-Tips.html,rebranded-local,False,0,0,0,1,2
214988110711,Reorder -- Email 2 of 4 -- Renewal -- 14 Day Heads Up,214988110711_Reorder----Email-2-of-4----Renewal----14-Day-Heads-Up.html,rebranded-local,False,0,0,0,1,2
214988406444,Newsletter -- Education -- Week 22 -- Color Matching Education,214988406444_Newsletter----Education----Week-22----Color-Matching-Education.html,rebranded-review-required,True,0,0,1,0,1
214988406447,Newsletter -- Newsletter -- Week 23 -- Newsletter Behind Scenes,214988406447_Newsletter----Newsletter----Week-23----Newsletter-Behind-Scenes.html,rebranded-review-required,True,0,0,1,0,1
214988406450,Newsletter -- Education -- Week 25 -- Travel Care Education,214988406450_Newsletter----Education----Week-25----Travel-Care-Education.html,rebranded-review-required,True,0,0,1,0,1
214988406453,Newsletter -- Customer Story -- Week 9 -- Product Spotlight,214988406453_Newsletter----Customer-Story----Week-9----Product-Spotlight.html,rebranded-review-required,True,0,0,1,0,1
214989746959,Abandoned Cart -- Email 1 of 3 -- Abandoned Cart -- Gentle Reminder,214989746959_Abandoned-Cart----Email-1-of-3----Abandoned-Cart----Gentle-Reminder.html,rebranded-review-required,True,2,0,0,0,1
214989746962,Cross-Sell -- Email 2 of 3 -- Cross-Sell -- Problem Solution,214989746962_Cross-Sell----Email-2-of-3----Cross-Sell----Problem-Solution.html,rebranded-local,False,0,0,0,0,1
214989746965,Cross-Sell -- Email 3 of 3 -- Cross-Sell -- Bundle Offer,214989746965_Cross-Sell----Email-3-of-3----Cross-Sell----Bundle-Offer.html,rebranded-local,False,0,0,0,0,1
214989746968,New Customer -- Email 1 of 4 -- New Customer -- Order Confirmation,214989746968_New-Customer----Email-1-of-4----New-Customer----Order-Confirmation.html,rebranded-local,False,0,0,0,0,1
214989746971,New Customer -- Email 2 of 4 -- New Customer -- Prep Guide,214989746971_New-Customer----Email-2-of-4----New-Customer----Prep-Guide.html,rebranded-local,False,0,0,0,0,1
214989746974,Post-Purchase -- Email 1 of 3 -- Post-Purchase -- Delivery QuickStart,214989746974_Post-Purchase----Email-1-of-3----Post-Purchase----Delivery-QuickStart.html,rebranded-local,False,0,0,0,0,1
214989746977,Post-Purchase -- Email 2 of 3 -- Post-Purchase -- Maintenance Schedule,214989746977_Post-Purchase----Email-2-of-3----Post-Purchase----Maintenance-Schedule.html,rebranded-local,False,0,0,0,0,1
214989746980,Post-Purchase -- Email 3 of 3 -- Post-Purchase -- Longevity Tips,214989746980_Post-Purchase----Email-3-of-3----Post-Purchase----Longevity-Tips.html,rebranded-review-required,True,1,0,0,0,1
214989746983,Reorder -- Email 1 of 3 -- Reorder -- Friendly Reminder,214989746983_Reorder----Email-1-of-3----Reorder----Friendly-Reminder.html,rebranded-local,False,0,0,0,0,1
214989746986,Reorder -- Email 2 of 3 -- Reorder -- Subscription Pitch,214989746986_Reorder----Email-2-of-3----Reorder----Subscription-Pitch.html,rebranded-local,False,0,0,0,0,1
214989746989,Review Request -- Email 1 of 2 -- Review Request -- Review Request,214989746989_Review-Request----Email-1-of-2----Review-Request----Review-Request.html,rebranded-local,False,0,0,0,0,1
214989746992,Shipping -- Email 1 of 2 -- Shipping -- What Happens Next,214989746992_Shipping----Email-1-of-2----Shipping----What-Happens-Next.html,rebranded-local,False,0,0,0,0,1
214989746995,Shipping -- Email 2 of 2 -- Shipping -- Mid Wait CheckIn,214989746995_Shipping----Email-2-of-2----Shipping----Mid-Wait-CheckIn.html,rebranded-local,False,0,0,0,0,1
214989746998,Welcome -- Email 3 of 5 -- Welcome -- Social Proof,214989746998_Welcome----Email-3-of-5----Welcome----Social-Proof.html,rebranded-local,False,0,0,0,0,1
214989747001,Win-back -- Email 1 of 4 -- Winback -- Soft CheckIn,214989747001_Win-back----Email-1-of-4----Winback----Soft-CheckIn.html,rebranded-local,False,0,0,0,0,1
214989747004,Win-back -- Email 4 of 4 -- Winback -- Final Goodbye,214989747004_Win-back----Email-4-of-4----Winback----Final-Goodbye.html,rebranded-local,False,0,0,0,0,1
214989747030,New Customer -- Email 2 of 8 -- New Customer Onboarding -- Preparation Guide,214989747030_New-Customer----Email-2-of-8----New-Customer-Onboarding----Preparation-Guide.html,rebranded-local,False,0,0,0,1,2
214989747033,Reorder -- Email 3 of 3 -- Replacement Window -- Loyalty Hook,214989747033_Reorder----Email-3-of-3----Replacement-Window----Loyalty-Hook.html,rebranded-local,False,0,0,0,1,2
214989747036,Newsletter -- Email 2 of 5 -- Newsletter Nurture -- How Systems Work,214989747036_Newsletter----Email-2-of-5----Newsletter-Nurture----How-Systems-Work.html,rebranded-local,False,0,0,0,1,2
214990233219,Welcome -- Email 2 of 5 -- Welcome -- Education Hook,214990233219_Welcome----Email-2-of-5----Welcome----Education-Hook.html,rebranded-local,False,0,0,0,0,1
