Module File ID,Module Family ID,Module Family,Module Label,Module Path,HubSpot Module ID,Scope,Block Type,Descriptor,Presentation Mode,HubSpot Folder,Local Source Path,Meta Global,Available For New Content,Content Types,Host Template Types,Field Count,Field Names,Field Types,Field Summary,Required Field Count,Locked Field Count,Default Value Coverage,Module HTML Hash,Fields JSON Hash,Meta JSON Hash,Can Be Used In Emails,Deployment Status,Last Local Sync Date,Last HubSpot Fetch Date,Source Of Truth,Brand Status,Compliance Role,Replacement For Legacy Module,Deprecated/Replaced By,Notes
modfile_email_modules_launch_launch_03_04_five_changes_module,modfam_launch_03_04_five_changes,launch-03-04-five-changes,launch-03-04-five-changes,email_modules/launch/launch-03-04-five-changes.module,,,,,,launch,/Users/vMac/03_agents/Projects/Email Marketing/Email Marketing Studio/hubspot/design-manager/email_modules/launch/launch-03-04-five-changes.module,False,True,EMAIL,ANY,13,eyebrow; heading; intro; item_1_title; item_1_text; item_2_title; item_2_text; item_3_title; item_3_text; item_4_title; item_4_text; item_5_title; item_5_text,richtext; text,Eyebrow (text); Heading (text); Intro (richtext); Item 1 title (text); Item 1 text (richtext); Item 2 title (text); Item 2 text (richtext); Item 3 title (text); Item 3 text (richtext); Item 4 title (text); Item 4 text (richtext); Item 5 title (text); Item 5 text (richtext),0,0,13/13,7d6c3171125e8d7b296283969dfb89912b339d4ccc40b3dbf9a5fe3792ae4b2f,a9afcc2a5f8f43dee5ed5ff06e4d3c679ab92e7bdeb8252f8e931ab46ee21dca,83399b1b7c2b388c7682e75374e019b089229758e591bccf2d1c7dfc97823c43,True,Built active - module_id missing from local meta,2026-07-03,2026-07-03,Email Marketing Studio/hubspot/design-manager/email_modules,,,,,
modfile_email_modules_launch_launch_03_05_products_3_dark_module,modfam_launch_03_05_products_3_dark,launch-03-05-products-3-dark,launch-03-05-products-3-dark,email_modules/launch/launch-03-05-products-3-dark.module,,,,,,launch,/Users/vMac/03_agents/Projects/Email Marketing/Email Marketing Studio/hubspot/design-manager/email_modules/launch/launch-03-05-products-3-dark.module,False,True,EMAIL,ANY,12,eyebrow; heading; body_text; product_1_image; product_1_title; product_1_text; product_2_image; product_2_title; product_2_text; product_3_image; product_3_title; product_3_text,image; richtext; text,Eyebrow (text); Heading (text); Body (richtext); Product 1 image (image); Product 1 title (text); Product 1 text (richtext); Product 2 image (image); Product 2 title (text); Product 2 text (richtext); Product 3 image (image); Product 3 title (text); Product 3 text (richtext),0,0,12/12,33bc60e1c15c20c03cfa8ac5d31bb1e6732f2353f6a5194e4520279da918254c,9833c2cc80400312ab699ba2587e056291b492fccd997b77bbbe79f0e9149ca5,622c9dd5cd6c2360fa42923a5187349b721760eab5338fdcf3bf4390d0478f7f,True,Built active - module_id missing from local meta,2026-07-03,2026-07-03,Email Marketing Studio/hubspot/design-manager/email_modules,,,,,
modfile_email_modules_launch_launch_03_06_founder_note_module,modfam_launch_03_06_founder_note,launch-03-06-founder-note,launch-03-06-founder-note,email_modules/launch/launch-03-06-founder-note.module,,,,,,launch,/Users/vMac/03_agents/Projects/Email Marketing/Email Marketing Studio/hubspot/design-manager/email_modules/launch/launch-03-06-founder-note.module,False,True,EMAIL,ANY,9,eyebrow; heading; body_text; pillar_1; pillar_2; pillar_3; pillar_4; person_name; role,richtext; text,Eyebrow (text); Heading (text); Body (richtext); Pillar 1 (text); Pillar 2 (text); Pillar 3 (text); Pillar 4 (text); Name (text); Role / title (text),0,0,9/9,aa93c9c1d23acb2b29f512f7ae68cefb7fc8054f63ef227e3b0a8300de17d6f7,08dc894e3310adaa266ae012a31853b47ca5df18a2a407d6a8e7cb3232163f12,e166adcf99a137284a6d28cd27a161234c02c43e4d762bc684f8928f60e0ef2c,True,Built active - module_id missing from local meta,2026-07-03,2026-07-03,Email Marketing Studio/hubspot/design-manager/email_modules,,,,,
modfile_email_modules_launch_launch_03_07_final_cta_module,modfam_launch_03_07_final_cta,launch-03-07-final-cta,launch-03-07-final-cta,email_modules/launch/launch-03-07-final-cta.module,,,,,,launch,/Users/vMac/03_agents/Projects/Email Marketing/Email Marketing Studio/hubspot/design-manager/email_modules/launch/launch-03-07-final-cta.module,False,True,EMAIL,ANY,4,headline; body_text; button_text; button_url,richtext; text; url,Headline (text); Body (richtext); Button Text (text); Button URL (url),0,0,4/4,2444a94c20a4c2700c74e102428abc1e0fca40b47b623e1b264f90dd804119b0,d4f7588f371c08db28ce4dc481850e7fac68a0e34aa1e6824bcc551681571cc9,4a012ea1cb48935b31bb825986da1d5a939482d4e97498d5a382b2cd845cac38,True,Built active - module_id missing from local meta,2026-07-03,2026-07-03,Email Marketing Studio/hubspot/design-manager/email_modules,,,,,
modfile_email_modules_launch_launch_03_08_footer_module,modfam_launch_03_08_footer,launch-03-08-footer,launch-03-08-footer,email_modules/launch/launch-03-08-footer.module,,,,,,launch,/Users/vMac/03_agents/Projects/Email Marketing/Email Marketing Studio/hubspot/design-manager/email_modules/launch/launch-03-08-footer.module,False,True,EMAIL,ANY,6,company_name; company_address; instagram_url; facebook_url; youtube_url; privacy_url,text; url,Company name (text); Company address (text); Instagram URL (url); Facebook URL (url); YouTube URL (url); Privacy URL (url),0,0,6/6,11a8fc10abde821fa2441b2a48c1cd67ba87fd4bb89abb5c86f829c133a33cf1,c95115cfa1dc23743969e383f97ffcd8da37332197a3bcefd258fdabc0d1f22b,a96dd29eb73592b424fd9df717cbb0630ce0775770b428816c5069ba522a39a7,True,Built active - module_id missing from local meta,2026-07-03,2026-07-03,Email Marketing Studio/hubspot/design-manager/email_modules,,,,,
modfile_email_modules_launch_launch_04_01_header_module,modfam_launch_04_01_header,launch-04-01-header,launch-04-01-header,email_modules/launch/launch-04-01-header.module,,,,,,launch,/Users/vMac/03_agents/Projects/Email Marketing/Email Marketing Studio/hubspot/design-manager/email_modules/launch/launch-04-01-header.module,False,True,EMAIL,ANY,2,logo_image; logo_url,image; url,Logo Image (image); Logo URL (optional) (url),0,0,2/2,e12ab33d0cf4f5b8e5ee368cd7c3727d764ae2af6bac8a9eb342c81fecf63b56,4178f880017da3783f55cd54a6b1e86c2ac5ddc0c1fca598372617c5089dfae5,9dd2aa31e5b13a783df2730dedfd06da9436edd2f612338078891d14819414be,True,Built active - module_id missing from local meta,2026-07-03,2026-07-03,Email Marketing Studio/hubspot/design-manager/email_modules,,,,,
modfile_email_modules_launch_launch_04_02_hero_image_module,modfam_launch_04_02_hero_image,launch-04-02-hero-image,launch-04-02-hero-image,email_modules/launch/launch-04-02-hero-image.module,,,,,,launch,/Users/vMac/03_agents/Projects/Email Marketing/Email Marketing Studio/hubspot/design-manager/email_modules/launch/launch-04-02-hero-image.module,False,True,EMAIL,ANY,6,image; eyebrow; headline; body_text; button_text; button_url,image; richtext; text; url,Hero Image (image); Eyebrow (text); Headline (text); Body (richtext); Button Text (text); Button URL (url),0,0,6/6,a1c9aec0c06787f15a97a16f33a6f2b504ef7ce7554e6e16531da7898d183d04,4db3a8cb8e5e7af3a6fc819b394f58a678f61b35874bc326e501210a25e8a96d,3451f1e83fff34b7160f330a21b2176de888b7a57bd43cbde398ed39d851b708,True,Built active - module_id missing from local meta,2026-07-03,2026-07-03,Email Marketing Studio/hubspot/design-manager/email_modules,,,,,
modfile_email_modules_launch_launch_04_03_founder_letter_module,modfam_launch_04_03_founder_letter,launch-04-03-founder-letter,launch-04-03-founder-letter,email_modules/launch/launch-04-03-founder-letter.module,,,,,,launch,/Users/vMac/03_agents/Projects/Email Marketing/Email Marketing Studio/hubspot/design-manager/email_modules/launch/launch-04-03-founder-letter.module,False,True,EMAIL,ANY,9,eyebrow; heading; body_text; pillar_1; pillar_2; pillar_3; pillar_4; person_name; role,richtext; text,Eyebrow (text); Heading (text); Body (richtext); Pillar 1 (text); Pillar 2 (text); Pillar 3 (text); Pillar 4 (text); Name (text); Role / title (text),0,0,9/9,aa93c9c1d23acb2b29f512f7ae68cefb7fc8054f63ef227e3b0a8300de17d6f7,f5d0406a0e54a6f7ae2c03f75491e5cf7298421310343d2bc4796e937eacef35,a8bf6b23e9f81bc0160e22c1b8cba13edce1403117a2d841ccca8fe46ffa4403,True,Built active - module_id missing from local meta,2026-07-03,2026-07-03,Email Marketing Studio/hubspot/design-manager/email_modules,,,,,
modfile_email_modules_launch_launch_04_04_belief_list_module,modfam_launch_04_04_belief_list,launch-04-04-belief-list,launch-04-04-belief-list,email_modules/launch/launch-04-04-belief-list.module,,,,,,launch,/Users/vMac/03_agents/Projects/Email Marketing/Email Marketing Studio/hubspot/design-manager/email_modules/launch/launch-04-04-belief-list.module,False,True,EMAIL,ANY,7,eyebrow; heading; body_text; point_1; point_2; point_3; point_4,richtext; text,Eyebrow (text); Heading (text); Body (richtext); Point 1 (text); Point 2 (text); Point 3 (text); Point 4 (text),0,0,7/7,e19e52b1fcf1b3b43cbe3c8f4825504b2a6977b66d001fb45ade3eea3f8f78d6,5852375530876fc82d61ef8c1ff1d035c802f0fcc0f6158f8162677af13e17c1,c5c9493116ac8c5ff931028973c307bff0af0619c97c6de395fa8d2c985282e2,True,Built active - module_id missing from local meta,2026-07-03,2026-07-03,Email Marketing Studio/hubspot/design-manager/email_modules,,,,,
modfile_email_modules_launch_launch_04_05_products_3_module,modfam_launch_04_05_products_3,launch-04-05-products-3,launch-04-05-products-3,email_modules/launch/launch-04-05-products-3.module,,,,,,launch,/Users/vMac/03_agents/Projects/Email Marketing/Email Marketing Studio/hubspot/design-manager/email_modules/launch/launch-04-05-products-3.module,False,True,EMAIL,ANY,12,eyebrow; heading; body_text; product_1_image; product_1_title; product_1_text; product_2_image; product_2_title; product_2_text; product_3_image; product_3_title; product_3_text,image; richtext; text,Eyebrow (text); Heading (text); Body (richtext); Product 1 image (image); Product 1 title (text); Product 1 text (richtext); Product 2 image (image); Product 2 title (text); Product 2 text (richtext); Product 3 image (image); Product 3 title (text); Product 3 text (richtext),0,0,12/12,39564e553aa1b9351a3bfea598372d46393144d3ab1e5cc40591d9255253f54d,9833c2cc80400312ab699ba2587e056291b492fccd997b77bbbe79f0e9149ca5,a680c0a6c2c2fc3274a556565ff60f5ceb65f47c7eb1f339302b8b297bd1c4a1,True,Built active - module_id missing from local meta,2026-07-03,2026-07-03,Email Marketing Studio/hubspot/design-manager/email_modules,,,,,
